No,Nama,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Target
1,Marshel,56.962678418421596,88.09190678255683,96.52499402930479,94.12831773836601,59.5167131471709,96.99111461450397,59.79166324504499,74.73824395959079,53.244862647841764,68.88420421278994,AK
2,Heno,54.54906390996974,65.4440862352748,77.83837125225408,68.18043173958966,70.70258997084969,79.90631410639102,52.82206021458517,71.55284158307543,65.80236184999336,62.995237933928976,AK
3,Ana,70.09920815439386,67.35542493369825,79.93616304220603,50.61637059799727,68.87458786795973,91.21001270721592,90.99816985525908,87.12758440703081,62.95091222779397,80.70762309592604,AK
4,Jodie,84.00691790499445,98.97367194349401,84.50418622830887,96.95842223531663,84.88019868059239,56.57515205500845,90.69510152018835,73.01207636820845,87.76606330077345,66.0403101853376,AK
5,Aiman,69.39874700297241,97.53798848146815,63.74769869417381,83.4796618878899,87.3958363763098,71.45755199780112,75.38989559269451,67.45330971170299,71.21561302004876,52.0062665962257,AK
6,Aiman,55.98963511851722,87.94477809371101,63.23590561847928,50.27586606332313,98.46195338839797,94.59157961317632,57.714327777216766,61.538841225749565,52.884778795507806,95.30698850407015,AK
7,Rouf,89.09047011981934,57.13155861571912,52.83973941963278,81.11480076122466,76.14168096706805,63.41040161091421,85.84634034582771,86.6881582542906,87.54382435449367,50.16269637619968,AK
8,Deva,89.83285135688139,62.27764490023466,69.58417634089284,54.19121227106173,64.72143888156843,90.32890148842,68.72773904243834,79.27409339635055,65.1298026731613,81.92853768279998,AK
9,Marshel,58.79122989563755,74.58639734432484,63.02223072900366,54.9666857391159,89.49677226087536,61.6210116878313,86.93091686939155,51.671236721119506,96.73233185890551,57.947996911112945,AK
10,Rayi,60.651653078326966,75.39467571978228,69.44077959064187,75.75433280331322,85.69725658358027,91.75192076685084,66.20009244440256,85.65827341865129,69.83025853131937,71.37970139114071,AK
11,Feby,91.3719300526937,63.33770859228899,67.11577536823145,95.54594181849302,92.33461975753002,88.5857160373119,78.05357238629122,68.41916287515606,52.947256940886334,67.67490507971695,AK
12,Naura,51.796240931822226,69.19220976776481,94.27025154489755,53.38928993054727,78.55143326052061,52.597452397708274,59.102103630998194,97.26418674747683,93.50753703798082,89.97600106813914,AK
13,Dyah,56.6067125351267,60.022186950577535,73.54586545282365,95.2382842170327,89.9737795351102,99.49367990313813,60.83823890381534,77.3614692241404,62.16757649346599,97.78753889857381,AK
14,Ameng,93.74729121691524,71.87387487395853,85.56908155757854,56.68802090592556,69.68565200173157,76.256847534458,93.07208494233629,83.63519509798871,89.87330196435656,53.53684760722683,AK
15,Rosi,53.67427454433424,86.0715689083232,55.19807647611808,61.44283874394095,58.280904290478325,67.82586118865923,67.6653054110442,93.91812852182576,74.44687608478628,62.87189521648704,AK
16,Ahya,85.02368901945792,95.95033468100522,63.45514549573521,87.0929620654894,52.238328891073905,62.635587912015936,57.05836798167454,56.14969565047743,76.24718623011293,67.59575324940042,AK
17,Anggi,72.48503037740264,84.3313261993093,92.25908525231523,62.07111957128511,83.43255642153545,57.00423307461785,78.73882552521616,59.328807564751706,90.50128674789698,81.61256584070202,AK
18,Cacaa,95.34281924079016,85.40253535528365,89.98185416351035,93.55376323609642,97.91226649825532,90.64182247679082,55.42624901635837,52.23226509781823,88.16672286402465,86.25522679812764,AK
19,Salsa,72.59473409315012,61.35381715843853,54.38887388152862,78.19148875975023,81.03858822213014,96.33850161663781,64.11831663922314,79.03289239312474,96.97279451575119,55.71687987420313,AK
20,Rosi,69.87194620359872,78.25962336767483,80.96587005471085,51.26453583521655,96.04382344377133,90.38201803417276,85.81200104790204,84.11251216514194,59.29284429247466,62.50781493869928,AK
21,Lulu,65.79631939292071,55.22464016298023,68.72037171247206,50.15128986052801,71.00059207244387,85.1555636444312,63.22966930952705,82.66503530059977,87.84040733103416,97.36430130083107,AK
22,Naura,76.8935460769432,52.70081239753236,85.55016594809516,68.31009207891874,54.466174773577926,95.75071455029618,85.56672958606453,99.44221512461294,52.11320946158643,77.37920484337148,AK
23,Rouf,56.71293773710217,50.182654940544026,68.42442049902337,86.04967731424486,50.37797988912154,52.241604862859006,87.53223870700685,71.71054629940281,61.10804324733351,52.66516434513006,AK
24,Dea,60.73812866487111,69.47124477152065,67.93497055125553,96.16910195790228,96.54377924873977,99.7865735525977,67.1714394929929,52.794256626598546,85.83654783409162,90.56176827988287,AK
25,Mitha,88.98727770664163,90.31770770637306,54.087518868414556,70.42172022719015,91.37914522811214,74.94258944247018,93.38501765291149,55.579638309469985,75.15439258715821,50.6034464343974,AK
26,Abda,99.31086781967821,82.71603213230311,60.630875915969,53.0163418826953,69.49263161912934,95.86563430762577,51.03416541689257,85.35025729461424,95.4467367734631,75.53526333250346,AK
27,Dea,53.06494852988174,63.73196948027477,53.69492275651934,51.73172335433669,56.603717618321305,97.9496353664548,85.23658414060125,99.80108918647537,71.14752884821891,84.83438154069091,AK
28,Eka,67.2584303824876,90.09604668414208,85.65720983455925,92.037831904544,84.52215624543717,67.7129052601603,65.55880401434058,91.11907388143672,92.55929771377436,83.54690137549363,AK
29,Faiq,60.116217351111565,89.67684432921268,82.1441965010644,53.297392382544224,85.17364433953162,60.47701921906833,94.49241538641252,78.88404711799451,89.47562025207262,74.98972221386268,AK
30,TIM,53.290736146023946,67.04524054450602,90.23865156234947,63.32031133783868,75.23575582274113,73.5377737355017,66.0098862541257,65.1091071457203,83.72555004282978,66.84304592255731,AK
31,Wuri,86.70803241942144,72.06121547065788,86.37383651434641,66.32199877914323,87.16622417688926,51.92073981972578,91.90527641402355,72.28119848816411,77.87769930802048,91.08006464055342,AK
32,Feby,56.80913329026379,51.88398353004233,74.7425640881658,97.4575292272859,56.75994042339274,81.1300751144436,71.54496095936256,99.4729113547229,69.7055892967491,93.61446971582102,AK
